loc_code	date	lab_project_id	lab_sample_id	chem_variable	value	units	below_loq	loq	elneutr
DYLP072	2010-02-22	0	10111	CondL	526	<U+00B5>S/cm	NA	-99	-0.010253
DYLP072	2010-02-22	0	10111	Fe	0.3419874664	meq/l	NA	-99	-0.010253
DYLP080	2010-02-22	0	10112	CondL	546	<U+00B5>S/cm	NA	-99	-0.046514
DYLP080	2010-02-22	0	10112	Fe	0.1858549687	meq/l	NA	-99	-0.046514
DYLP081	2010-02-22	0	10113	CondL	688	<U+00B5>S/cm	NA	-99	0.039989
DYLP081	2010-02-22	0	10113	Fe	1.2508504924	meq/l	NA	-99	0.039989
DYLP083	2010-02-22	0	10114	CondL	941	<U+00B5>S/cm	NA	-99	-0.012876
DYLP083	2010-02-22	0	10114	Fe	0.3835273053	meq/l	NA	-99	-0.012876
DYLP084	2010-02-22	0	10115	CondL	764	<U+00B5>S/cm	NA	-99	-0.008707
DYLP084	2010-02-22	0	10115	Fe	0.4898836168	meq/l	NA	-99	-0.008707
DYLP093	2010-02-16	0	10116	CondL	698	<U+00B5>S/cm	NA	-99	0.042937
DYLP093	2010-02-16	0	10116	Fe	1.0750223814	meq/l	NA	-99	0.042937
DYLP094	2010-02-16	0	10117	CondL	530	<U+00B5>S/cm	NA	-99	0.005437
DYLP094	2010-02-16	0	10117	Fe	0.9282005372	meq/l	NA	-99	0.005437
DYLP096	2010-02-16	0	10119	CondL	640	<U+00B5>S/cm	NA	-99	-0.013506
DYLP096	2010-02-16	0	10119	Fe	0.0017905103	meq/l	NA	-99	-0.013506
DYLP097	2010-02-22	0	10120	CondL	1213	<U+00B5>S/cm	NA	-99	-0.000394
DYLP097	2010-02-22	0	10120	Fe	0.0017905103	meq/l	NA	-99	-0.000394
DYLP098	2010-02-22	0	10121	CondL	675	<U+00B5>S/cm	NA	-99	-0.011195
DYLP098	2010-02-22	0	10121	Fe	0.1486123545	meq/l	NA	-99	-0.011195
DYLP109	2010-02-22	0	10122	CondL	667	<U+00B5>S/cm	NA	-99	0.047328
DYLP109	2010-02-22	0	10122	Fe	0.8723366159	meq/l	NA	-99	0.047328
DYLP154	2010-02-16	0	10123	CondL	477	<U+00B5>S/cm	NA	-99	-0.051708
DYLP154	2010-02-16	0	10123	Fe	0.0017905103	meq/l	NA	-99	-0.051708
DYLP155	2010-02-16	0	10124	CondL	705	<U+00B5>S/cm	NA	-99	0.02484
DYLP155	2010-02-16	0	10124	Fe	1.3729632945	meq/l	NA	-99	0.02484
DYLP174	2010-02-22	0	10126	CondL	665	<U+00B5>S/cm	NA	-99	-0.017093
DYLP174	2010-02-22	0	10126	Fe	0.0379588183	meq/l	NA	-99	-0.017093
HERP012	2001-01-15	0	10128	Fe	0.9310653536	meq/l	NA	-99	NA
HERP012	2001-08-07	0	10129	Fe	2.2202327663	meq/l	NA	-99	0.083664
BUIP291	1989-08-07	0	10163	CondL	460	<U+00B5>S/cm	NA	-99	-0.001579
BUIP291	1989-08-07	0	10163	Fe	0.0093106535	meq/l	NA	-99	-0.001579
BUIP270	1989-08-21	0	10168	CondL	323	<U+00B5>S/cm	NA	-99	0.007731
BUIP270	1989-08-21	0	10168	Fe	0.0010743062	meq/l	NA	-99	0.007731
BUIP273	1989-08-21	0	10170	CondL	138	<U+00B5>S/cm	NA	-99	-0.472577
BUIP273	1989-08-21	0	10170	Fe	0.0007162041	meq/l	NA	-99	-0.472577
BUIP275	1989-08-21	0	10172	CondL	127	<U+00B5>S/cm	NA	-99	-0.388611
BUIP275	1989-08-21	0	10172	Fe	0.0200537153	meq/l	NA	-99	-0.388611
BUIP277	1989-08-21	0	10174	CondL	316	<U+00B5>S/cm	NA	-99	-0.004875
BUIP277	1989-08-21	0	10174	Fe	0.0003581021	meq/l	NA	-99	-0.004875
BUIP278	1989-08-21	0	10175	CondL	534	<U+00B5>S/cm	NA	-99	-0.012601
BUIP278	1989-08-21	0	10175	Fe	0.0003581021	meq/l	NA	-99	-0.012601
BUIP279	1989-09-04	0	10182	CondL	202	<U+00B5>S/cm	NA	-99	-0.030571
